Draw Number,Main 1,Main 2,Main 3,Main 4,Main 5,Main 6,Supp 1,Supp 2
4251,11,12,14,15,23,37,20,42
4249,1,8,19,31,35,40,15,38
4247,1,4,6,15,21,27,19,41
4245,2,8,13,21,22,33,10,27
4243,10,24,32,34,38,43,6,25
4241,4,29,35,37,40,41,21,27
4239,2,16,18,19,30,40,9,28
4237,3,7,16,23,26,34,17,35
4235,1,5,18,20,23,34,9,35
4233,13,35,36,37,42,43,5,15
4231,2,9,10,11,22,37,6,40
4229,8,9,22,23,34,40,13,17
4227,1,12,14,21,39,43,19,32
4225,3,11,19,33,38,42,13,39
4223,3,17,20,24,27,29,9,18
4221,8,14,15,20,32,43,31,35
4219,6,19,21,30,31,42,15,38
4217,1,19,25,29,36,44,21,35
4215,6,12,27,35,37,39,2,19
4213,8,24,31,39,44,45,21,41
4211,3,5,27,34,41,45,10,24
4209,9,17,20,21,25,33,4,19
4207,17,22,26,29,32,40,12,21
4205,11,15,28,30,33,39,19,35
4203,4,16,26,29,30,32,37,43
4201,9,10,16,22,26,32,17,38
4199,2,7,17,26,27,38,1,19
4197,18,22,24,34,40,42,19,37
4195,13,17,26,28,33,44,18,38
4193,6,28,29,33,36,40,26,43
4191,5,6,15,18,36,43,24,29
4189,8,10,17,23,26,34,36,41
4187,14,29,31,33,44,45,19,26
4185,17,19,21,22,23,30,32,43
4183,6,19,34,35,40,43,22,45
4181,3,9,13,19,24,28,29,35
4179,5,11,12,22,28,36,1,9
4177,13,16,18,32,33,41,9,19
4175,12,16,26,27,30,40,13,15
4173,2,14,30,32,35,38,10,45
4171,22,23,28,30,34,38,16,20
4169,2,7,27,33,37,42,10,20
4167,1,24,26,32,34,36,7,27
4165,12,14,30,34,40,41,15,27
4163,5,13,15,28,37,45,1,43
4161,1,11,24,32,33,44,20,35
4159,2,7,16,28,30,42,22,35
4157,6,7,9,13,23,27,1,33
4155,5,15,16,19,20,41,4,21
4153,2,4,9,26,31,41,18,25
4151,5,14,18,22,31,42,1,8
4149,2,4,8,31,32,44,35,36
4147,5,13,17,33,38,44,22,35
4145,7,8,20,22,26,42,14,16
4143,1,21,31,38,39,41,6,43
4141,2,4,12,23,24,35,15,37
4139,8,9,13,19,22,32,15,25
4137,15,17,22,27,37,40,2,4
4135,11,16,26,32,39,42,6,30
4133,4,6,24,35,42,45,36,38
4131,3,5,9,26,35,41,28,45
4129,1,3,4,22,42,43,24,25
4127,3,6,8,10,12,24,36,45
4125,3,6,15,20,30,31,2,26
4123,1,6,8,10,29,40,31,42
4121,4,12,14,17,22,33,25,28
4119,7,9,20,22,34,45,10,12
4117,5,7,14,16,17,44,26,31
4115,2,5,11,21,30,32,25,42
4113,9,16,26,35,39,41,13,33
4111,14,16,35,38,40,43,1,33
4109,1,9,11,24,32,41,15,38
4107,10,18,20,34,35,37,7,41
4105,2,21,27,37,39,42,7,11
4103,6,15,23,26,27,45,2,29
4101,1,3,7,8,15,35,5,10
4099,4,13,19,26,27,34,6,15
4097,3,23,30,31,38,45,19,40
4095,5,8,12,14,16,38,3,17
4093,5,12,24,26,34,37,2,3
4091,3,11,21,24,29,38,36,40
4089,1,7,22,28,36,42,11,14
4087,1,8,14,23,26,41,12,33
4085,12,27,28,31,36,39,6,24
4083,2,3,13,32,37,38,29,36
