Draw Number,Main 1,Main 2,Main 3,Main 4,Main 5,Main 6,Supp 1,Supp 2
3143,1,7,21,22,23,27,29,40
3141,4,8,16,32,33,34,26,29
3139,3,24,26,30,32,39,4,8
3137,8,13,15,22,33,34,10,41
3135,4,6,9,27,39,43,16,34
3133,2,5,9,16,23,31,34,38
3131,1,4,22,24,31,33,6,10
3129,11,16,17,29,35,38,24,34
3127,15,32,34,36,41,45,39,40
3125,6,10,14,17,39,40,3,5
3123,10,11,12,15,22,28,5,13
3121,1,6,14,19,32,42,10,34
3119,3,11,17,30,36,38,15,42
3117,1,19,22,23,27,45,3,38
3115,1,9,11,13,33,35,22,30
3113,8,13,15,19,27,43,16,34
3111,4,10,18,22,31,45,24,40
3109,12,24,26,28,39,44,4,36
3107,1,7,15,33,35,40,39,45
3105,5,10,13,25,32,37,24,41
3103,1,14,18,22,23,29,28,39
3101,3,4,11,13,41,45,8,39
3099,10,14,24,30,40,41,2,8
3097,1,14,23,34,41,42,27,37
3095,2,6,7,8,18,21,11,24
3093,4,13,17,21,38,40,18,32
3091,12,19,22,26,32,33,1,8
3089,1,4,21,23,24,43,10,32
3087,1,5,14,23,41,45,2,8
3085,4,9,10,26,38,44,23,40
3083,5,11,19,30,42,45,18,24
3081,2,11,15,19,20,25,1,13
3079,3,15,17,21,34,43,16,41
3077,10,12,23,26,27,31,4,24
3075,5,6,19,23,35,38,18,22
3073,10,11,13,19,24,41,3,17
3071,4,11,12,22,29,38,30,41
3069,4,13,25,26,42,44,15,22
3067,10,16,18,26,32,33,12,19
3065,9,10,12,13,39,43,1,31
3063,2,12,15,24,35,37,5,40
3061,7,19,21,25,38,42,27,32
3059,14,15,26,27,35,41,23,38
3057,15,24,25,28,30,39,7,45
3055,4,6,7,27,31,45,15,20
3053,12,23,31,34,39,43,1,9
3051,15,19,28,36,39,41,11,34
3049,1,11,24,26,32,36,8,14
3047,8,9,29,33,37,42,1,3
3045,12,22,24,26,31,38,19,29
3043,7,18,31,35,40,44,15,38
3041,5,11,15,36,42,44,1,4
3039,1,20,28,35,36,44,3,21
3037,3,9,11,29,30,34,10,38
3035,1,8,11,16,31,38,15,33
3033,2,12,13,29,31,40,21,25
3031,5,28,35,39,40,41,21,36
3029,4,14,25,35,41,43,6,28
3027,6,13,16,24,30,33,34,43
3025,2,11,17,19,39,40,14,20
3023,17,23,30,38,40,42,15,24
3021,1,6,10,15,26,40,4,36
3019,2,5,10,22,37,38,21,23
3017,5,11,13,16,25,29,37,43
3015,1,7,11,21,23,43,20,35
3013,5,13,24,26,28,41,20,25
3011,2,12,19,22,30,40,11,39
3009,7,8,16,17,27,40,11,43
3007,4,6,13,15,18,35,8,16
3005,7,21,34,39,42,43,3,4
3003,20,24,25,29,31,34,5,44
3001,4,5,12,18,20,25,7,37
2999,5,6,22,32,36,43,25,34
2997,15,17,27,33,40,43,24,44
2995,12,18,21,22,33,38,2,28
2993,9,13,16,23,27,33,21,42
2991,10,12,15,26,29,40,3,39
2989,7,17,24,31,42,43,35,36
2987,4,18,21,24,28,41,33,34
2985,20,26,29,31,33,40,12,30
2983,1,13,18,33,36,37,11,22
2981,1,7,14,34,41,45,15,21
2979,8,11,23,25,27,42,20,33
2977,12,13,15,21,22,43,11,42
2975,8,13,15,18,29,38,1,36
2973,14,27,32,33,36,41,6,35
2971,6,8,18,20,36,45,29,39
2969,5,12,16,33,34,42,30,32
2967,6,9,11,24,28,42,36,37
2965,2,3,5,7,9,23,26,41
2963,1,2,24,25,31,34,23,44
2961,1,10,26,31,32,44,38,45
2959,11,19,28,36,37,40,17,29
2957,4,16,19,23,28,44,33,41
2955,2,9,13,23,26,36,16,25
2953,1,14,21,29,33,36,4,25
2951,6,24,29,30,37,44,9,35
2949,2,14,16,23,34,39,12,17
2947,2,10,22,24,26,44,5,31
2945,2,6,13,14,25,32,31,33
2943,3,16,18,32,39,42,19,40
2941,1,7,13,16,30,40,22,23
2939,2,20,24,29,33,41,13,19
2937,4,21,30,35,42,43,31,45
2935,9,11,20,29,34,39,31,36
2933,4,23,30,35,36,43,15,18
2931,7,11,32,37,38,40,16,24
2929,1,18,28,30,37,43,2,11
2927,14,19,29,33,39,40,16,22
2925,5,16,24,27,28,40,8,29
2923,5,14,16,25,35,38,36,39
2921,2,5,6,8,12,13,14,40
2919,5,9,20,29,33,37,12,24
2917,1,13,25,38,43,45,6,10
2915,9,14,20,24,25,38,5,26
2913,1,15,17,33,34,37,32,44
2911,13,19,22,29,36,42,23,45
2909,19,20,31,36,43,45,34,35
2907,6,26,33,34,40,45,1,22
2905,6,8,18,25,27,37,10,28
2903,3,14,15,19,25,44,16,26
2901,8,13,14,22,24,31,2,40
2899,1,5,38,41,42,45,14,32
2897,3,13,17,32,38,44,43,45
2895,3,5,8,14,30,34,6,9
2893,1,2,10,27,41,43,42,44
2891,1,8,34,37,38,42,23,40
2889,5,21,22,25,27,38,8,43
2887,3,13,18,19,29,38,9,12
2885,6,17,20,26,38,41,3,13
2883,2,6,12,34,39,41,28,36
2881,17,21,22,24,28,34,6,35
2879,8,10,13,17,26,33,6,35
2877,5,6,20,23,24,26,28,29
2875,2,5,18,20,27,37,6,43
2873,4,5,15,18,30,34,8,13
2871,18,24,31,32,41,44,4,14
2869,4,9,27,37,42,45,18,36
2867,8,12,16,19,22,42,28,40
2865,17,25,28,34,37,45,8,23
2863,6,16,24,26,36,41,25,43
2861,18,20,22,27,28,40,8,24
2859,7,10,11,21,34,40,3,22
2857,1,2,10,15,17,21,16,28
2855,6,18,30,37,43,44,11,23
2853,1,11,15,28,35,39,24,33
2851,14,22,28,34,39,40,18,33
2849,7,11,14,25,31,32,6,26
2847,5,11,21,23,30,35,17,39
2845,21,22,24,30,32,45,1,38
2843,1,9,12,30,38,42,14,26
2841,10,15,17,18,20,31,27,37
2839,19,24,27,36,40,43,11,42
2837,4,9,10,11,21,28,7,33
2835,4,7,19,22,25,28,14,18
2833,9,11,20,30,41,45,6,40
2831,5,11,29,31,32,42,6,39
2829,1,4,10,27,33,44,13,31
2827,7,8,13,23,28,40,34,37
2825,2,5,18,24,36,42,35,38
2823,12,26,34,40,43,45,21,29
2821,3,9,14,24,40,42,28,36
2819,8,14,22,24,25,30,10,38
2817,8,9,33,34,40,43,11,32
2815,27,29,37,38,39,45,36,44
2813,3,9,20,31,40,45,8,44
2811,3,10,11,37,40,44,26,36
2809,3,12,17,24,37,44,21,36
2807,3,4,8,34,35,44,2,6
2805,2,12,20,27,30,31,8,32
2803,6,7,9,12,32,45,5,30
2801,15,30,32,33,34,45,41,44
2799,6,10,11,15,28,39,5,43
2797,1,3,6,21,22,40,4,24
2795,7,18,22,24,41,43,2,3
2793,4,30,34,35,38,41,6,10
2791,18,23,25,33,37,43,12,15
2789,20,21,31,32,38,39,2,11
2787,3,5,13,26,29,32,8,43
2785,5,8,17,29,32,40,2,38
2783,3,10,21,27,29,36,20,44
2781,6,10,26,35,39,43,21,27
2779,3,11,31,35,41,44,40,45
2777,5,15,18,19,21,30,33,34
2775,21,24,34,39,42,43,4,28
2773,1,9,13,19,24,41,34,38
2771,9,10,21,26,28,31,12,14
2769,12,26,30,31,40,42,2,4
2767,4,12,19,24,35,40,26,29
2765,3,19,22,29,37,43,12,15
2763,3,15,24,35,41,42,11,16
2761,4,7,13,21,29,38,8,34
